FID	IID	Project	Region	Population	Genetic_Region
HGDP00133	HGDP00133	HGDP	Central_South_Asia	Makrani	CSA
HGDP00134	HGDP00134	HGDP	Central_South_Asia	Makrani	CSA
HGDP00135	HGDP00135	HGDP	Central_South_Asia	Makrani	CSA
HGDP00136	HGDP00136	HGDP	Central_South_Asia	Makrani	CSA
HGDP00137	HGDP00137	HGDP	Central_South_Asia	Makrani	CSA
HGDP00139	HGDP00139	HGDP	Central_South_Asia	Makrani	CSA
HGDP00140	HGDP00140	HGDP	Central_South_Asia	Makrani	CSA
HGDP00141	HGDP00141	HGDP	Central_South_Asia	Makrani	CSA
HGDP00143	HGDP00143	HGDP	Central_South_Asia	Makrani	CSA
HGDP00144	HGDP00144	HGDP	Central_South_Asia	Makrani	CSA
HGDP00145	HGDP00145	HGDP	Central_South_Asia	Makrani	CSA
HGDP00146	HGDP00146	HGDP	Central_South_Asia	Makrani	CSA
HGDP00148	HGDP00148	HGDP	Central_South_Asia	Makrani	CSA
HGDP00149	HGDP00149	HGDP	Central_South_Asia	Makrani	CSA
HGDP00150	HGDP00150	HGDP	Central_South_Asia	Makrani	CSA
HGDP00151	HGDP00151	HGDP	Central_South_Asia	Makrani	CSA
HGDP00153	HGDP00153	HGDP	Central_South_Asia	Makrani	CSA
HGDP00154	HGDP00154	HGDP	Central_South_Asia	Makrani	CSA
HGDP00155	HGDP00155	HGDP	Central_South_Asia	Makrani	CSA
HGDP00158	HGDP00158	HGDP	Central_South_Asia	Makrani	CSA
HGDP00161	HGDP00161	HGDP	Central_South_Asia	Makrani	CSA
HGDP00163	HGDP00163	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00165	HGDP00165	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00167	HGDP00167	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00169	HGDP00169	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00171	HGDP00171	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00173	HGDP00173	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00175	HGDP00175	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00177	HGDP00177	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00179	HGDP00179	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00181	HGDP00181	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00183	HGDP00183	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00185	HGDP00185	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00187	HGDP00187	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00189	HGDP00189	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00191	HGDP00191	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00192	HGDP00192	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00197	HGDP00197	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00199	HGDP00199	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00201	HGDP00201	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00205	HGDP00205	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00206	HGDP00206	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00210	HGDP00210	HGDP	Central_South_Asia	Sindhi	CSA
HGDP00213	HGDP00213	HGDP	Central_South_Asia	Pathan	CSA
HGDP00214	HGDP00214	HGDP	Central_South_Asia	Pathan	CSA
HGDP00218	HGDP00218	HGDP	Central_South_Asia	Pathan	CSA
HGDP00222	HGDP00222	HGDP	Central_South_Asia	Pathan	CSA
HGDP00224	HGDP00224	HGDP	Central_South_Asia	Pathan	CSA
HGDP00226	HGDP00226	HGDP	Central_South_Asia	Pathan	CSA
HGDP00228	HGDP00228	HGDP	Central_South_Asia	Pathan	CSA
HGDP00230	HGDP00230	HGDP	Central_South_Asia	Pathan	CSA
HGDP00234	HGDP00234	HGDP	Central_South_Asia	Pathan	CSA
HGDP00237	HGDP00237	HGDP	Central_South_Asia	Pathan	CSA
HGDP00239	HGDP00239	HGDP	Central_South_Asia	Pathan	CSA
HGDP00241	HGDP00241	HGDP	Central_South_Asia	Pathan	CSA
HGDP00243	HGDP00243	HGDP	Central_South_Asia	Pathan	CSA
HGDP00244	HGDP00244	HGDP	Central_South_Asia	Pathan	CSA
HGDP00247	HGDP00247	HGDP	Central_South_Asia	Pathan	CSA
HGDP00248	HGDP00248	HGDP	Central_South_Asia	Pathan	CSA
HGDP00251	HGDP00251	HGDP	Central_South_Asia	Pathan	CSA
HGDP00254	HGDP00254	HGDP	Central_South_Asia	Pathan	CSA
HGDP00258	HGDP00258	HGDP	Central_South_Asia	Pathan	CSA
HGDP00259	HGDP00259	HGDP	Central_South_Asia	Pathan	CSA
HGDP00262	HGDP00262	HGDP	Central_South_Asia	Pathan	CSA
HGDP00264	HGDP00264	HGDP	Central_South_Asia	Pathan	CSA
HGDP00274	HGDP00274	HGDP	Central_South_Asia	Kalash	CSA
HGDP00277	HGDP00277	HGDP	Central_South_Asia	Kalash	CSA
HGDP00279	HGDP00279	HGDP	Central_South_Asia	Kalash	CSA
HGDP00281	HGDP00281	HGDP	Central_South_Asia	Kalash	CSA
HGDP00285	HGDP00285	HGDP	Central_South_Asia	Kalash	CSA
HGDP00288	HGDP00288	HGDP	Central_South_Asia	Kalash	CSA
HGDP00290	HGDP00290	HGDP	Central_South_Asia	Kalash	CSA
HGDP00298	HGDP00298	HGDP	Central_South_Asia	Kalash	CSA
HGDP00302	HGDP00302	HGDP	Central_South_Asia	Kalash	CSA
HGDP00304	HGDP00304	HGDP	Central_South_Asia	Kalash	CSA
HGDP00307	HGDP00307	HGDP	Central_South_Asia	Kalash	CSA
HGDP00309	HGDP00309	HGDP	Central_South_Asia	Kalash	CSA
HGDP00311	HGDP00311	HGDP	Central_South_Asia	Kalash	CSA
HGDP00313	HGDP00313	HGDP	Central_South_Asia	Kalash	CSA
HGDP00315	HGDP00315	HGDP	Central_South_Asia	Kalash	CSA
HGDP00319	HGDP00319	HGDP	Central_South_Asia	Kalash	CSA
HGDP00323	HGDP00323	HGDP	Central_South_Asia	Kalash	CSA
HGDP00326	HGDP00326	HGDP	Central_South_Asia	Kalash	CSA
HGDP00330	HGDP00330	HGDP	Central_South_Asia	Kalash	CSA
HGDP00333	HGDP00333	HGDP	Central_South_Asia	Kalash	CSA
HGDP00341	HGDP00341	HGDP	Central_South_Asia	Burusho	CSA
HGDP00346	HGDP00346	HGDP	Central_South_Asia	Burusho	CSA
HGDP00351	HGDP00351	HGDP	Central_South_Asia	Burusho	CSA
HGDP00356	HGDP00356	HGDP	Central_South_Asia	Burusho	CSA
HGDP00359	HGDP00359	HGDP	Central_South_Asia	Burusho	CSA
HGDP00364	HGDP00364	HGDP	Central_South_Asia	Burusho	CSA
HGDP00371	HGDP00371	HGDP	Central_South_Asia	Burusho	CSA
HGDP00372	HGDP00372	HGDP	Central_South_Asia	Burusho	CSA
HGDP00376	HGDP00376	HGDP	Central_South_Asia	Burusho	CSA
HGDP00382	HGDP00382	HGDP	Central_South_Asia	Burusho	CSA
HGDP00388	HGDP00388	HGDP	Central_South_Asia	Burusho	CSA
HGDP00392	HGDP00392	HGDP	Central_South_Asia	Burusho	CSA
HGDP00397	HGDP00397	HGDP	Central_South_Asia	Burusho	CSA
HGDP00402	HGDP00402	HGDP	Central_South_Asia	Burusho	CSA
HGDP00407	HGDP00407	HGDP	Central_South_Asia	Burusho	CSA
HGDP00412	HGDP00412	HGDP	Central_South_Asia	Burusho	CSA
HGDP00417	HGDP00417	HGDP	Central_South_Asia	Burusho	CSA
HGDP00423	HGDP00423	HGDP	Central_South_Asia	Burusho	CSA
HGDP00433	HGDP00433	HGDP	Central_South_Asia	Burusho	CSA
HGDP00438	HGDP00438	HGDP	Central_South_Asia	Burusho	CSA
HGDP00444	HGDP00444	HGDP	Central_South_Asia	Burusho	CSA
HGDP00445	HGDP00445	HGDP	Central_South_Asia	Burusho	CSA
HGDP00450	HGDP00450	HGDP	Africa	MbutiPygmy	AFR
HGDP00452	HGDP00452	HGDP	Africa	BiakaPygmy	AFR
HGDP00453	HGDP00453	HGDP	Africa	BiakaPygmy	AFR
HGDP00454	HGDP00454	HGDP	Africa	BiakaPygmy	AFR
HGDP00455	HGDP00455	HGDP	Africa	BiakaPygmy	AFR
HGDP00458	HGDP00458	HGDP	Africa	BiakaPygmy	AFR
HGDP00459	HGDP00459	HGDP	Africa	BiakaPygmy	AFR
HGDP00460	HGDP00460	HGDP	Africa	BiakaPygmy	AFR
HGDP00462	HGDP00462	HGDP	Africa	MbutiPygmy	AFR
HGDP00463	HGDP00463	HGDP	Africa	MbutiPygmy	AFR
HGDP00464	HGDP00464	HGDP	Africa	BiakaPygmy	AFR
HGDP00466	HGDP00466	HGDP	Africa	BiakaPygmy	AFR
HGDP00467	HGDP00467	HGDP	Africa	MbutiPygmy	AFR
HGDP00469	HGDP00469	HGDP	Africa	BiakaPygmy	AFR
HGDP00470	HGDP00470	HGDP	Africa	BiakaPygmy	AFR
HGDP00471	HGDP00471	HGDP	Africa	MbutiPygmy	AFR
HGDP00472	HGDP00472	HGDP	Africa	BiakaPygmy	AFR
HGDP00473	HGDP00473	HGDP	Africa	BiakaPygmy	AFR
HGDP00475	HGDP00475	HGDP	Africa	BiakaPygmy	AFR
HGDP00478	HGDP00478	HGDP	Africa	MbutiPygmy	AFR
HGDP00479	HGDP00479	HGDP	Africa	BiakaPygmy	AFR
HGDP00491	HGDP00491	HGDP	Oceania	Melanesian	OCE
HGDP00511	HGDP00511	HGDP	Europe	French	EUR
HGDP00512	HGDP00512	HGDP	Europe	French	EUR
HGDP00513	HGDP00513	HGDP	Europe	French	EUR
HGDP00514	HGDP00514	HGDP	Europe	French	EUR
HGDP00515	HGDP00515	HGDP	Europe	French	EUR
HGDP00516	HGDP00516	HGDP	Europe	French	EUR
HGDP00517	HGDP00517	HGDP	Europe	French	EUR
HGDP00518	HGDP00518	HGDP	Europe	French	EUR
HGDP00519	HGDP00519	HGDP	Europe	French	EUR
HGDP00520	HGDP00520	HGDP	Europe	French	EUR
HGDP00522	HGDP00522	HGDP	Europe	French	EUR
HGDP00523	HGDP00523	HGDP	Europe	French	EUR
HGDP00524	HGDP00524	HGDP	Europe	French	EUR
HGDP00525	HGDP00525	HGDP	Europe	French	EUR
HGDP00527	HGDP00527	HGDP	Europe	French	EUR
HGDP00528	HGDP00528	HGDP	Europe	French	EUR
HGDP00529	HGDP00529	HGDP	Europe	French	EUR
HGDP00531	HGDP00531	HGDP	Europe	French	EUR
HGDP00534	HGDP00534	HGDP	Europe	French	EUR
HGDP00535	HGDP00535	HGDP	Europe	French	EUR
HGDP00536	HGDP00536	HGDP	Europe	French	EUR
HGDP00537	HGDP00537	HGDP	Europe	French	EUR
HGDP00538	HGDP00538	HGDP	Europe	French	EUR
HGDP00539	HGDP00539	HGDP	Europe	French	EUR
HGDP00540	HGDP00540	HGDP	Oceania	Papuan	OCE
HGDP00541	HGDP00541	HGDP	Oceania	Papuan	OCE
HGDP00542	HGDP00542	HGDP	Oceania	Papuan	OCE
HGDP00543	HGDP00543	HGDP	Oceania	Papuan	OCE
HGDP00544	HGDP00544	HGDP	Oceania	Papuan	OCE
HGDP00545	HGDP00545	HGDP	Oceania	Papuan	OCE
HGDP00546	HGDP00546	HGDP	Oceania	Papuan	OCE
HGDP00547	HGDP00547	HGDP	Oceania	Papuan	OCE
HGDP00549	HGDP00549	HGDP	Oceania	Papuan	OCE
HGDP00550	HGDP00550	HGDP	Oceania	Papuan	OCE
HGDP00551	HGDP00551	HGDP	Oceania	Papuan	OCE
HGDP00553	HGDP00553	HGDP	Oceania	Papuan	OCE
HGDP00555	HGDP00555	HGDP	Oceania	Papuan	OCE
HGDP00556	HGDP00556	HGDP	Oceania	Papuan	OCE
HGDP00557	HGDP00557	HGDP	Middle_East	Druze	MID
HGDP00558	HGDP00558	HGDP	Middle_East	Druze	MID
HGDP00559	HGDP00559	HGDP	Middle_East	Druze	MID
HGDP00560	HGDP00560	HGDP	Middle_East	Druze	MID
HGDP00561	HGDP00561	HGDP	Middle_East	Druze	MID
HGDP00562	HGDP00562	HGDP	Middle_East	Druze	MID
HGDP00563	HGDP00563	HGDP	Middle_East	Druze	MID
HGDP00564	HGDP00564	HGDP	Middle_East	Druze	MID
HGDP00565	HGDP00565	HGDP	Middle_East	Druze	MID
HGDP00566	HGDP00566	HGDP	Middle_East	Druze	MID
HGDP00567	HGDP00567	HGDP	Middle_East	Druze	MID
HGDP00568	HGDP00568	HGDP	Middle_East	Druze	MID
HGDP00571	HGDP00571	HGDP	Middle_East	Druze	MID
HGDP00572	HGDP00572	HGDP	Middle_East	Druze	MID
HGDP00573	HGDP00573	HGDP	Middle_East	Druze	MID
HGDP00574	HGDP00574	HGDP	Middle_East	Druze	MID
HGDP00575	HGDP00575	HGDP	Middle_East	Druze	MID
HGDP00576	HGDP00576	HGDP	Middle_East	Druze	MID
HGDP00577	HGDP00577	HGDP	Middle_East	Druze	MID
HGDP00578	HGDP00578	HGDP	Middle_East	Druze	MID
HGDP00579	HGDP00579	HGDP	Middle_East	Druze	MID
HGDP00580	HGDP00580	HGDP	Middle_East	Druze	MID
HGDP00581	HGDP00581	HGDP	Middle_East	Druze	MID
HGDP00582	HGDP00582	HGDP	Middle_East	Druze	MID
HGDP00583	HGDP00583	HGDP	Middle_East	Druze	MID
HGDP00584	HGDP00584	HGDP	Middle_East	Druze	MID
HGDP00586	HGDP00586	HGDP	Middle_East	Druze	MID
HGDP00587	HGDP00587	HGDP	Middle_East	Druze	MID
HGDP00588	HGDP00588	HGDP	Middle_East	Druze	MID
HGDP00590	HGDP00590	HGDP	Middle_East	Druze	MID
HGDP00591	HGDP00591	HGDP	Middle_East	Druze	MID
HGDP00594	HGDP00594	HGDP	Middle_East	Druze	MID
HGDP00595	HGDP00595	HGDP	Middle_East	Druze	MID
HGDP00598	HGDP00598	HGDP	Middle_East	Druze	MID
HGDP00599	HGDP00599	HGDP	Middle_East	Druze	MID
HGDP00600	HGDP00600	HGDP	Middle_East	Druze	MID
HGDP00601	HGDP00601	HGDP	Middle_East	Druze	MID
HGDP00602	HGDP00602	HGDP	Middle_East	Druze	MID
HGDP00604	HGDP00604	HGDP	Middle_East	Druze	MID
HGDP00606	HGDP00606	HGDP	Middle_East	Druze	MID
HGDP00607	HGDP00607	HGDP	Middle_East	Bedouin	MID
HGDP00608	HGDP00608	HGDP	Middle_East	Bedouin	MID
HGDP00609	HGDP00609	HGDP	Middle_East	Bedouin	MID
HGDP00610	HGDP00610	HGDP	Middle_East	Bedouin	MID
HGDP00611	HGDP00611	HGDP	Middle_East	Bedouin	MID
HGDP00612	HGDP00612	HGDP	Middle_East	Bedouin	MID
HGDP00613	HGDP00613	HGDP	Middle_East	Bedouin	MID
HGDP00614	HGDP00614	HGDP	Middle_East	Bedouin	MID
HGDP00615	HGDP00615	HGDP	Middle_East	Bedouin	MID
HGDP00618	HGDP00618	HGDP	Middle_East	Bedouin	MID
HGDP00619	HGDP00619	HGDP	Middle_East	Bedouin	MID
HGDP00620	HGDP00620	HGDP	Middle_East	Bedouin	MID
HGDP00621	HGDP00621	HGDP	Middle_East	Bedouin	MID
HGDP00622	HGDP00622	HGDP	Middle_East	Bedouin	MID
HGDP00623	HGDP00623	HGDP	Middle_East	Bedouin	MID
HGDP00624	HGDP00624	HGDP	Middle_East	Bedouin	MID
HGDP00625	HGDP00625	HGDP	Middle_East	Bedouin	MID
HGDP00626	HGDP00626	HGDP	Middle_East	Bedouin	MID
HGDP00627	HGDP00627	HGDP	Middle_East	Bedouin	MID
HGDP00628	HGDP00628	HGDP	Middle_East	Bedouin	MID
HGDP00629	HGDP00629	HGDP	Middle_East	Bedouin	MID
HGDP00630	HGDP00630	HGDP	Middle_East	Bedouin	MID
HGDP00631	HGDP00631	HGDP	Middle_East	Bedouin	MID
HGDP00632	HGDP00632	HGDP	Middle_East	Bedouin	MID
HGDP00634	HGDP00634	HGDP	Middle_East	Bedouin	MID
HGDP00635	HGDP00635	HGDP	Middle_East	Bedouin	MID
HGDP00636	HGDP00636	HGDP	Middle_East	Bedouin	MID
HGDP00637	HGDP00637	HGDP	Middle_East	Bedouin	MID
HGDP00638	HGDP00638	HGDP	Middle_East	Bedouin	MID
HGDP00639	HGDP00639	HGDP	Middle_East	Bedouin	MID
HGDP00640	HGDP00640	HGDP	Middle_East	Bedouin	MID
HGDP00641	HGDP00641	HGDP	Middle_East	Bedouin	MID
HGDP00642	HGDP00642	HGDP	Middle_East	Bedouin	MID
HGDP00643	HGDP00643	HGDP	Middle_East	Bedouin	MID
HGDP00644	HGDP00644	HGDP	Middle_East	Bedouin	MID
HGDP00645	HGDP00645	HGDP	Middle_East	Bedouin	MID
HGDP00646	HGDP00646	HGDP	Middle_East	Bedouin	MID
HGDP00647	HGDP00647	HGDP	Middle_East	Bedouin	MID
HGDP00648	HGDP00648	HGDP	Middle_East	Bedouin	MID
HGDP00649	HGDP00649	HGDP	Middle_East	Bedouin	MID
HGDP00651	HGDP00651	HGDP	Middle_East	Bedouin	MID
HGDP00653	HGDP00653	HGDP	Middle_East	Bedouin	MID
HGDP00654	HGDP00654	HGDP	Middle_East	Bedouin	MID
HGDP00655	HGDP00655	HGDP	Oceania	Melanesian	OCE
HGDP00661	HGDP00661	HGDP	Oceania	Melanesian	OCE
HGDP00662	HGDP00662	HGDP	Oceania	Melanesian	OCE
HGDP00663	HGDP00663	HGDP	Oceania	Melanesian	OCE
HGDP00664	HGDP00664	HGDP	Oceania	Melanesian	OCE
HGDP00666	HGDP00666	HGDP	Europe	Sardinian	EUR
HGDP00667	HGDP00667	HGDP	Europe	Sardinian	EUR
HGDP00668	HGDP00668	HGDP	Europe	Sardinian	EUR
HGDP00669	HGDP00669	HGDP	Europe	Sardinian	EUR
HGDP00670	HGDP00670	HGDP	Europe	Sardinian	EUR
HGDP00671	HGDP00671	HGDP	Europe	Sardinian	EUR
HGDP00672	HGDP00672	HGDP	Europe	Sardinian	EUR
HGDP00673	HGDP00673	HGDP	Europe	Sardinian	EUR
HGDP00674	HGDP00674	HGDP	Europe	Sardinian	EUR
HGDP00675	HGDP00675	HGDP	Middle_East	Palestinian	MID
HGDP00676	HGDP00676	HGDP	Middle_East	Palestinian	MID
HGDP00677	HGDP00677	HGDP	Middle_East	Palestinian	MID
HGDP00678	HGDP00678	HGDP	Middle_East	Palestinian	MID
HGDP00679	HGDP00679	HGDP	Middle_East	Palestinian	MID
HGDP00680	HGDP00680	HGDP	Middle_East	Palestinian	MID
HGDP00682	HGDP00682	HGDP	Middle_East	Palestinian	MID
HGDP00683	HGDP00683	HGDP	Middle_East	Palestinian	MID
HGDP00684	HGDP00684	HGDP	Middle_East	Palestinian	MID
HGDP00685	HGDP00685	HGDP	Middle_East	Palestinian	MID
HGDP00686	HGDP00686	HGDP	Middle_East	Palestinian	MID
HGDP00687	HGDP00687	HGDP	Middle_East	Palestinian	MID
HGDP00688	HGDP00688	HGDP	Middle_East	Palestinian	MID
HGDP00689	HGDP00689	HGDP	Middle_East	Palestinian	MID
HGDP00690	HGDP00690	HGDP	Middle_East	Palestinian	MID
HGDP00691	HGDP00691	HGDP	Middle_East	Palestinian	MID
HGDP00692	HGDP00692	HGDP	Middle_East	Palestinian	MID
HGDP00693	HGDP00693	HGDP	Middle_East	Palestinian	MID
HGDP00694	HGDP00694	HGDP	Middle_East	Palestinian	MID
HGDP00696	HGDP00696	HGDP	Middle_East	Palestinian	MID
HGDP00697	HGDP00697	HGDP	Middle_East	Palestinian	MID
HGDP00698	HGDP00698	HGDP	Middle_East	Palestinian	MID
HGDP00699	HGDP00699	HGDP	Middle_East	Palestinian	MID
HGDP00700	HGDP00700	HGDP	Middle_East	Palestinian	MID
HGDP00701	HGDP00701	HGDP	Middle_East	Bedouin	MID
HGDP00703	HGDP00703	HGDP	America	Colombian	AMR
HGDP00704	HGDP00704	HGDP	America	Colombian	AMR
HGDP00708	HGDP00708	HGDP	America	Colombian	AMR
HGDP00710	HGDP00710	HGDP	America	Colombian	AMR
HGDP00711	HGDP00711	HGDP	East_Asia	Cambodian	EAS
HGDP00712	HGDP00712	HGDP	East_Asia	Cambodian	EAS
HGDP00714	HGDP00714	HGDP	East_Asia	Cambodian	EAS
HGDP00715	HGDP00715	HGDP	East_Asia	Cambodian	EAS
HGDP00716	HGDP00716	HGDP	East_Asia	Cambodian	EAS
HGDP00719	HGDP00719	HGDP	East_Asia	Cambodian	EAS
HGDP00721	HGDP00721	HGDP	East_Asia	Cambodian	EAS
HGDP00723	HGDP00723	HGDP	Middle_East	Palestinian	MID
HGDP00724	HGDP00724	HGDP	Middle_East	Palestinian	MID
HGDP00726	HGDP00726	HGDP	Middle_East	Palestinian	MID
HGDP00727	HGDP00727	HGDP	Middle_East	Palestinian	MID
HGDP00729	HGDP00729	HGDP	Middle_East	Palestinian	MID
HGDP00730	HGDP00730	HGDP	Middle_East	Palestinian	MID
HGDP00731	HGDP00731	HGDP	Middle_East	Palestinian	MID
HGDP00732	HGDP00732	HGDP	Middle_East	Palestinian	MID
HGDP00733	HGDP00733	HGDP	Middle_East	Palestinian	MID
HGDP00734	HGDP00734	HGDP	Middle_East	Palestinian	MID
HGDP00735	HGDP00735	HGDP	Middle_East	Palestinian	MID
HGDP00736	HGDP00736	HGDP	Middle_East	Palestinian	MID
HGDP00738	HGDP00738	HGDP	Middle_East	Palestinian	MID
HGDP00739	HGDP00739	HGDP	Middle_East	Palestinian	MID
HGDP00740	HGDP00740	HGDP	Middle_East	Palestinian	MID
HGDP00741	HGDP00741	HGDP	Middle_East	Palestinian	MID
HGDP00744	HGDP00744	HGDP	Middle_East	Palestinian	MID
HGDP00745	HGDP00745	HGDP	Middle_East	Palestinian	MID
HGDP00746	HGDP00746	HGDP	Middle_East	Palestinian	MID
HGDP00747	HGDP00747	HGDP	East_Asia	Japanese	EAS
HGDP00748	HGDP00748	HGDP	East_Asia	Japanese	EAS
HGDP00750	HGDP00750	HGDP	East_Asia	Japanese	EAS
HGDP00751	HGDP00751	HGDP	East_Asia	Japanese	EAS
HGDP00752	HGDP00752	HGDP	East_Asia	Japanese	EAS
HGDP00753	HGDP00753	HGDP	East_Asia	Japanese	EAS
HGDP00754	HGDP00754	HGDP	East_Asia	Japanese	EAS
HGDP00755	HGDP00755	HGDP	East_Asia	Japanese	EAS
HGDP00756	HGDP00756	HGDP	East_Asia	Japanese	EAS
HGDP00757	HGDP00757	HGDP	East_Asia	Japanese	EAS
HGDP00758	HGDP00758	HGDP	East_Asia	Japanese	EAS
HGDP00759	HGDP00759	HGDP	East_Asia	Japanese	EAS
HGDP00760	HGDP00760	HGDP	East_Asia	Japanese	EAS
HGDP00761	HGDP00761	HGDP	East_Asia	Japanese	EAS
HGDP00762	HGDP00762	HGDP	East_Asia	Japanese	EAS
HGDP00764	HGDP00764	HGDP	East_Asia	Japanese	EAS
HGDP00765	HGDP00765	HGDP	East_Asia	Japanese	EAS
